Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,23.22,6.58,6.00,3.26,1.93,0.85,2.18,45.46,77.88
Brooklyn Nets,23.17,6.02,5.08,3.50,1.23,0.71,2.05,46.15,84.05
Boston Celtics,19.88,5.97,4.49,2.57,1.22,0.43,2.16,41.80,88.84
Charlotte Hornets,19.21,6.95,5.61,3.08,1.77,0.72,2.87,42.23,80.49
Chicago Bulls,22.16,6.23,6.03,3.39,1.32,0.56,2.20,41.64,82.75
Cleveland Cavaliers,20.76,5.77,4.94,3.34,1.40,0.55,2.48,43.31,85.08
Dallas Mavericks,21.96,6.53,5.46,3.28,1.74,0.51,2.79,43.00,80.47
Denver Nuggets,19.47,5.54,4.90,2.92,1.75,0.58,2.08,40.45,74.93
Detroit Pistons,22.91,5.11,6.10,3.78,1.92,1.04,2.14,43.12,87.79
Golden State Warriors,21.99,5.13,5.96,3.56,0.82,0.43,2.39,43.12,76.61
Houston Rockets,21.86,6.03,4.85,3.19,1.37,0.44,2.11,45.54,80.10
Indiana Pacers,24.30,6.99,5.03,2.79,1.10,0.86,2.67,45.35,84.32
Los Angeles Clippers,22.06,6.73,4.56,3.44,1.62,0.62,1.99,47.43,75.41
Los Angeles Lakers,22.82,5.40,6.05,3.18,1.31,0.71,2.42,46.59,86.43
Memphis Grizzlies,21.10,6.26,5.13,3.13,1.87,1.08,2.13,44.87,77.00
Miami Heat,18.08,5.55,5.57,2.68,1.35,0.56,2.39,40.42,76.51
Milwaukee Bucks,23.62,7.56,4.82,3.67,1.46,0.54,2.00,44.47,80.90
Minnesota Timberwolves,18.50,6.37,4.13,2.77,1.24,0.46,2.48,42.09,81.11
New Orleans Pelicans,20.22,5.21,4.70,3.93,1.41,0.53,2.94,40.38,88.45
New York Knicks,19.63,5.90,5.30,3.54,1.52,0.91,2.41,43.94,83.22
Oklahoma City Thunder,22.78,6.16,5.66,3.58,1.48,0.67,3.38,46.01,81.68
Orlando Magic,19.56,5.01,4.73,2.74,1.40,0.42,2.27,43.59,83.27
Philadelphia 76ers,19.89,5.11,4.46,3.30,1.13,1.01,1.88,44.38,80.18
Phoenix Suns,20.69,6.71,5.32,3.34,1.76,0.96,2.42,42.17,75.66
Portland Trail Blazers,20.18,5.95,4.70,2.86,2.09,0.85,2.26,44.09,82.49
Sacramento Kings,21.29,5.60,4.63,3.35,1.44,0.52,2.02,41.85,80.88
San Antonio Spurs,24.07,6.68,6.65,3.17,1.97,0.86,2.37,45.72,85.88
Toronto Raptors,21.44,5.84,5.35,3.61,1.84,0.64,2.10,45.43,77.78
Utah Jazz,23.58,6.95,5.92,3.83,1.62,0.90,2.16,50.03,79.30
Washington Wizards,24.91,8.03,5.42,3.33,1.52,0.88,2.18,47.49,83.33
