Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,22.15,15.01,3.91,0.83,1.61,2.30,2.78,58.88,75.09
Brooklyn Nets,22.08,14.80,4.08,0.96,1.38,2.42,2.39,56.27,77.47
Boston Celtics,22.44,13.59,4.25,1.08,1.00,1.55,2.46,55.32,68.93
Charlotte Hornets,25.45,16.39,3.73,0.97,1.19,2.21,2.88,60.86,75.20
Chicago Bulls,22.13,14.11,4.41,1.13,1.29,2.09,2.26,55.53,68.44
Cleveland Cavaliers,21.10,15.35,4.00,0.96,1.48,2.26,2.66,54.71,74.47
Dallas Mavericks,23.87,14.92,4.38,1.31,1.35,1.62,2.80,55.09,69.34
Denver Nuggets,23.63,14.22,4.36,0.94,1.36,2.04,2.62,53.36,72.73
Detroit Pistons,23.47,15.13,4.58,0.80,1.56,3.18,2.86,58.63,75.31
Golden State Warriors,23.59,14.41,4.89,0.96,1.33,2.08,2.86,53.87,73.08
Houston Rockets,22.54,14.29,4.00,1.14,1.23,2.67,3.41,55.43,69.55
Indiana Pacers,23.46,15.11,4.40,0.69,1.20,2.19,2.99,54.92,74.17
Los Angeles Clippers,20.79,14.79,4.53,1.03,1.46,1.75,2.51,50.62,68.73
Los Angeles Lakers,21.66,14.72,4.72,1.38,1.61,2.13,2.80,53.06,68.33
Memphis Grizzlies,23.33,15.25,3.97,1.03,1.35,3.17,3.32,54.82,73.38
Miami Heat,20.31,14.19,3.32,0.95,1.12,1.64,2.26,54.53,72.78
Milwaukee Bucks,22.30,14.00,4.49,1.14,1.18,1.62,2.52,51.52,73.95
Minnesota Timberwolves,21.65,13.51,4.09,1.15,1.42,1.87,2.49,52.67,72.63
New Orleans Pelicans,22.72,15.11,4.41,1.04,1.18,2.36,2.94,57.09,74.81
New York Knicks,20.27,13.35,3.53,1.14,1.17,2.07,2.74,54.43,70.81
Oklahoma City Thunder,23.36,15.33,4.84,1.10,1.20,2.14,3.32,55.13,74.42
Orlando Magic,20.52,13.38,3.77,0.65,1.45,2.06,2.95,57.13,72.51
Philadelphia 76ers,23.67,14.42,4.10,1.03,0.91,2.50,2.84,58.19,77.03
Phoenix Suns,21.66,13.21,4.59,0.86,1.31,1.62,2.73,53.41,74.25
Portland Trail Blazers,24.10,15.43,4.55,1.22,1.81,2.96,2.92,59.73,69.42
Sacramento Kings,19.53,14.42,4.47,0.69,1.32,2.02,2.16,51.75,74.01
San Antonio Spurs,26.12,15.60,4.01,0.94,1.42,2.10,2.63,56.80,75.71
Toronto Raptors,23.55,15.92,4.44,0.91,1.21,2.54,2.85,58.02,74.75
Utah Jazz,25.23,14.22,4.31,0.88,1.28,2.48,2.60,57.87,71.79
Washington Wizards,26.49,17.74,4.19,0.67,1.11,2.55,3.09,60.71,76.64
