Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,23.74,8.74,5.59,2.79,1.56,1.10,2.70,49.13,79.35
Brooklyn Nets,22.73,8.88,5.12,2.66,1.36,0.99,2.35,47.29,80.73
Boston Celtics,21.49,8.55,4.93,2.53,1.26,0.72,2.27,44.94,77.08
Charlotte Hornets,23.13,9.07,5.66,2.66,1.44,1.00,2.62,48.77,80.00
Chicago Bulls,22.32,8.47,5.50,2.84,1.35,0.98,2.56,47.27,77.73
Cleveland Cavaliers,21.92,8.53,4.95,2.51,1.57,0.93,2.57,46.33,79.62
Dallas Mavericks,22.90,9.03,5.50,2.59,1.47,0.85,2.60,46.83,76.51
Denver Nuggets,21.76,8.51,5.09,2.20,1.42,0.95,2.38,46.04,77.10
Detroit Pistons,23.69,8.63,5.39,2.40,1.80,1.23,2.42,48.69,79.62
Golden State Warriors,23.00,8.53,5.36,2.68,1.55,1.00,2.49,46.73,77.95
Houston Rockets,22.36,8.87,4.85,2.45,1.45,1.20,2.69,46.25,75.59
Indiana Pacers,24.18,8.80,4.95,2.08,1.33,1.12,2.66,49.81,78.95
Los Angeles Clippers,22.45,8.40,5.32,2.61,1.45,0.94,2.43,46.77,77.37
Los Angeles Lakers,23.52,8.77,5.68,2.84,1.60,0.97,2.55,47.54,78.42
Memphis Grizzlies,22.42,9.18,5.24,2.65,1.64,1.27,2.84,46.89,76.98
Miami Heat,21.49,8.43,5.26,2.55,1.31,0.93,2.63,46.49,78.01
Milwaukee Bucks,22.92,8.77,5.23,2.50,1.42,0.84,2.32,46.39,79.86
Minnesota Timberwolves,21.10,8.25,4.80,2.30,1.52,0.89,2.70,44.52,78.23
New Orleans Pelicans,22.10,8.52,5.37,2.73,1.33,1.04,2.76,46.04,78.38
New York Knicks,21.77,8.11,5.13,2.56,1.34,1.03,2.58,47.48,76.67
Oklahoma City Thunder,22.61,8.98,5.41,2.69,1.41,1.04,3.00,46.05,78.02
Orlando Magic,21.49,7.95,4.71,2.27,1.61,0.89,2.86,47.16,77.55
Philadelphia 76ers,22.22,8.81,5.23,2.40,1.23,1.19,2.83,46.97,79.74
Phoenix Suns,22.43,8.27,5.24,2.57,1.72,0.93,2.48,46.10,76.13
Portland Trail Blazers,22.94,8.63,5.38,2.31,1.79,1.25,2.70,49.15,79.41
Sacramento Kings,22.66,8.50,5.33,2.54,1.46,0.89,2.66,47.76,79.74
San Antonio Spurs,23.47,9.12,5.52,2.50,1.76,0.95,2.58,48.50,78.05
Toronto Raptors,23.55,8.88,5.67,2.71,1.46,1.15,2.59,48.71,78.43
Utah Jazz,24.02,8.39,5.91,2.91,1.71,1.27,2.32,48.85,77.57
Washington Wizards,24.49,9.74,5.81,2.41,1.61,1.18,2.66,49.49,77.55
