Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,24.62,10.28,4.56,2.74,1.47,1.28,2.24,50.50,78.27
Brooklyn Nets,22.38,10.60,4.32,2.17,1.15,1.06,2.44,47.91,78.77
Boston Celtics,20.45,10.07,3.96,2.30,1.01,0.80,2.08,44.61,75.94
Charlotte Hornets,24.55,10.69,4.96,2.54,1.40,1.00,2.79,50.24,75.12
Chicago Bulls,23.45,10.92,4.06,2.53,1.28,1.26,2.61,51.85,72.37
Cleveland Cavaliers,23.05,9.83,4.09,2.43,1.40,1.02,2.51,46.59,74.45
Dallas Mavericks,24.75,10.53,4.57,2.28,1.53,0.91,2.71,48.22,73.19
Denver Nuggets,22.89,10.20,4.09,2.12,1.28,1.16,2.08,47.48,74.19
Detroit Pistons,24.68,10.06,4.38,2.18,1.58,1.14,2.31,51.03,76.77
Golden State Warriors,24.12,10.91,4.56,2.72,1.51,1.17,2.76,47.91,77.53
Houston Rockets,23.20,10.75,4.15,2.14,1.43,1.51,2.78,46.08,72.76
Indiana Pacers,26.27,10.09,4.51,1.91,1.25,1.32,2.68,53.79,78.05
Los Angeles Clippers,22.39,9.96,4.61,2.10,1.43,1.22,2.37,49.14,74.03
Los Angeles Lakers,24.98,10.29,4.49,2.68,1.31,1.01,2.56,49.56,71.36
Memphis Grizzlies,23.08,10.62,4.37,2.43,1.54,1.29,3.10,48.32,76.99
Miami Heat,21.52,9.67,4.34,2.19,1.23,1.03,2.72,48.66,78.91
Milwaukee Bucks,23.03,9.95,3.80,2.54,1.33,1.13,2.28,47.09,78.63
Minnesota Timberwolves,20.97,9.22,3.26,2.02,1.39,1.18,2.48,45.27,73.09
New Orleans Pelicans,23.18,10.68,3.97,2.23,1.06,1.23,2.44,47.73,76.72
New York Knicks,23.59,8.96,4.42,2.72,1.19,1.02,2.63,49.40,69.75
Oklahoma City Thunder,23.75,11.33,4.19,2.02,1.40,1.06,2.85,49.05,78.48
Orlando Magic,20.74,9.44,3.81,1.84,1.33,1.04,2.86,48.46,74.05
Philadelphia 76ers,22.83,11.35,4.39,2.32,0.96,1.34,3.11,47.90,74.04
Phoenix Suns,24.41,9.65,3.71,2.30,1.70,1.08,2.59,47.48,73.83
Portland Trail Blazers,23.03,9.67,4.38,2.09,1.52,1.34,2.71,48.82,78.87
Sacramento Kings,25.14,10.26,4.66,2.40,1.42,0.92,3.18,50.14,78.28
San Antonio Spurs,22.72,10.36,4.81,2.31,1.47,0.97,2.46,50.50,71.30
Toronto Raptors,24.95,10.59,4.49,2.54,1.33,1.39,2.48,50.45,75.23
Utah Jazz,25.85,9.31,4.86,3.04,1.78,1.44,2.19,51.36,75.00
Washington Wizards,25.52,10.76,4.91,2.06,1.41,1.18,2.52,51.41,70.78
