Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,28.24,6.66,7.45,4.02,1.38,0.46,3.69,47.36,90.02
Brooklyn Nets,25.26,6.21,7.95,3.61,1.86,0.54,2.71,44.80,79.72
Boston Celtics,27.67,4.86,7.93,3.57,1.28,0.35,2.71,45.55,82.74
Charlotte Hornets,24.52,7.04,10.63,3.32,2.02,0.71,3.32,49.28,79.55
Chicago Bulls,28.22,6.38,9.51,4.40,1.66,0.51,2.80,45.68,90.41
Cleveland Cavaliers,20.92,5.17,7.76,2.74,1.39,0.41,2.07,42.59,96.05
Dallas Mavericks,21.70,5.74,7.27,2.80,1.66,0.66,2.53,42.70,84.41
Denver Nuggets,19.32,7.18,9.07,2.22,1.43,0.45,2.80,37.59,87.63
Detroit Pistons,16.91,5.34,7.57,1.81,2.54,0.88,2.28,41.92,78.14
Golden State Warriors,22.27,5.20,8.78,3.43,2.37,0.55,2.32,44.32,80.42
Houston Rockets,29.20,7.08,7.26,3.57,1.56,0.62,3.94,50.89,82.77
Indiana Pacers,23.99,6.46,7.17,2.13,1.42,0.77,2.71,44.86,79.97
Los Angeles Clippers,25.45,5.41,8.29,3.97,1.72,0.95,2.87,43.61,85.82
Los Angeles Lakers,26.98,7.18,10.09,3.40,2.46,0.32,2.74,45.76,80.70
Memphis Grizzlies,23.05,5.64,9.14,3.83,1.88,0.87,3.36,45.71,85.71
Miami Heat,21.93,6.38,8.58,2.74,1.03,0.58,3.48,43.63,90.52
Milwaukee Bucks,25.36,7.34,8.97,2.76,2.07,0.62,3.70,43.81,83.84
Minnesota Timberwolves,23.86,6.92,9.48,3.24,1.38,0.00,3.51,40.25,94.63
New Orleans Pelicans,24.06,4.76,7.85,3.47,1.85,0.67,2.97,46.86,80.27
New York Knicks,24.40,5.80,6.33,3.03,1.31,0.72,3.16,42.42,85.56
Oklahoma City Thunder,20.19,6.85,9.45,2.97,1.21,0.72,2.18,41.89,83.16
Orlando Magic,24.37,7.18,7.96,2.75,2.15,0.35,3.71,44.72,86.30
Philadelphia 76ers,20.71,5.81,9.66,2.41,1.49,0.74,2.99,39.99,87.50
Phoenix Suns,23.64,6.43,9.48,3.31,1.68,0.45,2.72,46.25,86.64
Portland Trail Blazers,26.80,4.14,7.65,3.44,1.85,0.63,3.06,46.01,88.08
Sacramento Kings,21.27,6.98,6.72,2.56,1.73,0.44,3.46,41.58,79.57
San Antonio Spurs,25.42,6.30,6.89,2.49,2.16,0.59,3.21,45.61,84.77
Toronto Raptors,27.42,5.39,8.37,4.06,1.90,0.76,3.42,49.08,75.84
Utah Jazz,25.67,6.24,9.74,4.06,2.24,1.12,3.12,46.58,79.39
Washington Wizards,21.95,6.11,7.16,2.72,2.33,0.72,2.72,42.90,88.43
