Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,24.77,6.70,7.64,3.66,1.14,0.55,2.98,45.34,87.16
Brooklyn Nets,23.50,5.85,8.03,3.49,1.79,0.35,2.88,46.56,82.67
Boston Celtics,23.69,5.11,8.30,3.02,1.21,0.43,2.84,41.58,80.46
Charlotte Hornets,23.55,7.08,10.13,3.26,1.38,0.43,3.47,44.82,82.78
Chicago Bulls,25.89,5.85,9.28,4.16,1.50,0.41,2.84,45.31,87.14
Cleveland Cavaliers,21.85,5.21,7.64,2.94,1.75,0.34,2.39,44.61,92.81
Dallas Mavericks,23.05,6.61,8.76,2.48,1.58,0.42,2.57,44.82,86.11
Denver Nuggets,22.37,6.65,8.68,2.51,1.39,0.21,2.51,40.99,85.03
Detroit Pistons,21.34,5.76,7.37,2.51,2.43,0.72,3.31,44.78,77.85
Golden State Warriors,22.45,5.88,8.48,3.20,2.05,0.60,2.42,44.39,80.22
Houston Rockets,28.83,7.03,6.94,3.23,1.54,0.97,3.41,48.92,76.77
Indiana Pacers,23.39,6.79,6.85,2.45,1.25,0.65,2.60,46.57,81.96
Los Angeles Clippers,27.30,5.77,8.19,4.37,1.58,0.72,2.99,46.82,86.98
Los Angeles Lakers,26.08,6.25,9.59,3.37,2.36,0.29,2.50,46.69,85.82
Memphis Grizzlies,23.62,7.08,7.57,3.51,1.79,0.72,3.35,45.84,77.27
Miami Heat,22.96,6.23,8.54,2.74,1.00,0.59,3.31,43.63,90.23
Milwaukee Bucks,24.66,6.54,8.75,3.35,1.73,0.50,3.25,44.92,81.86
Minnesota Timberwolves,22.46,6.43,9.18,2.74,1.68,0.34,3.69,40.89,88.74
New Orleans Pelicans,21.18,4.83,9.21,3.42,1.55,0.54,2.93,44.07,79.87
New York Knicks,21.89,5.82,6.34,2.56,1.34,0.73,2.53,44.39,82.03
Oklahoma City Thunder,21.46,6.49,8.47,3.32,1.33,0.61,2.64,42.35,81.49
Orlando Magic,25.24,5.82,7.78,3.18,2.42,0.26,3.45,43.65,82.42
Philadelphia 76ers,23.13,5.74,9.36,2.59,1.45,0.64,3.47,42.57,85.75
Phoenix Suns,24.12,6.22,9.08,3.49,1.67,0.48,3.18,43.85,79.78
Portland Trail Blazers,24.55,4.59,8.51,2.96,2.11,0.84,2.83,45.14,85.19
Sacramento Kings,21.23,6.11,8.24,2.30,1.67,0.35,3.35,44.27,81.00
San Antonio Spurs,25.69,6.57,7.90,2.41,2.38,0.65,3.19,47.30,86.77
Toronto Raptors,24.14,6.13,10.14,3.62,2.10,0.40,3.41,45.35,75.07
Utah Jazz,24.85,5.98,10.36,3.83,2.03,0.83,3.00,48.49,80.82
Washington Wizards,24.37,6.52,8.02,2.82,2.13,0.74,2.62,45.24,89.71
