Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,22.27,8.30,4.84,2.30,1.63,0.92,2.22,46.69,79.66
Brooklyn Nets,21.95,8.64,5.18,2.28,1.37,1.12,2.28,48.14,75.96
Boston Celtics,21.17,8.22,5.12,2.53,1.15,0.67,1.85,46.36,72.04
Charlotte Hornets,22.65,8.94,5.94,2.74,1.08,0.62,2.28,49.28,78.55
Chicago Bulls,21.97,8.45,5.42,3.22,1.42,0.77,2.51,45.43,74.02
Cleveland Cavaliers,23.46,8.32,5.80,3.06,1.92,0.44,2.42,50.77,84.26
Dallas Mavericks,20.45,9.37,5.08,2.62,1.65,0.65,2.80,42.40,76.26
Denver Nuggets,21.05,8.85,5.42,2.11,1.42,1.37,2.28,43.63,75.00
Detroit Pistons,22.24,8.88,5.52,2.34,1.62,1.30,2.62,48.95,70.98
Golden State Warriors,20.37,7.88,5.22,2.45,1.48,0.88,2.62,42.99,74.62
Houston Rockets,22.74,9.03,4.84,2.64,1.37,1.15,3.15,49.82,84.21
Indiana Pacers,25.38,8.68,5.12,2.02,1.06,1.16,2.28,51.41,83.50
Los Angeles Clippers,21.88,8.68,4.94,2.71,1.34,1.08,2.31,46.17,74.58
Los Angeles Lakers,24.92,8.28,6.27,3.01,1.66,0.84,2.48,49.82,69.42
Memphis Grizzlies,22.22,9.00,5.45,2.82,1.71,1.40,2.94,46.57,78.35
Miami Heat,19.00,7.28,5.04,2.10,1.14,0.62,3.00,43.92,76.54
Milwaukee Bucks,20.88,8.80,4.52,2.07,1.54,0.62,2.27,41.87,81.43
Minnesota Timberwolves,20.52,8.56,4.74,2.40,1.68,0.52,2.80,43.33,76.44
New Orleans Pelicans,21.58,8.96,4.92,2.72,1.08,1.00,2.86,46.20,78.42
New York Knicks,21.65,8.02,5.43,2.59,1.29,0.87,2.98,48.01,79.19
Oklahoma City Thunder,23.33,8.41,5.37,2.84,1.52,0.92,2.47,47.48,82.44
Orlando Magic,20.94,8.42,4.97,2.37,1.62,0.82,2.71,45.88,86.96
Philadelphia 76ers,21.82,7.84,5.60,2.34,1.08,1.30,2.38,47.15,84.82
Phoenix Suns,20.97,7.65,5.34,2.02,1.71,0.82,2.34,46.17,82.05
Portland Trail Blazers,22.22,8.65,5.14,2.22,1.91,1.37,2.22,46.75,77.60
Sacramento Kings,21.62,8.54,5.00,2.82,1.22,0.71,2.25,46.32,73.75
San Antonio Spurs,22.69,8.61,5.77,2.36,1.83,0.90,2.64,49.50,82.73
Toronto Raptors,24.57,9.37,5.97,3.31,1.42,1.51,2.77,51.01,72.60
Utah Jazz,24.80,8.94,6.42,3.34,1.77,1.11,2.51,50.95,77.22
Washington Wizards,22.18,9.60,4.87,1.91,1.74,1.26,2.39,45.41,79.42
