Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,23.75,8.77,5.58,2.77,1.55,1.11,2.70,49.05,79.03
Brooklyn Nets,22.80,8.89,5.12,2.64,1.35,0.98,2.37,47.54,80.77
Boston Celtics,21.47,8.49,4.92,2.52,1.26,0.72,2.26,44.85,76.97
Charlotte Hornets,23.09,9.09,5.62,2.63,1.42,1.00,2.60,48.60,80.57
Chicago Bulls,22.28,8.50,5.50,2.84,1.34,0.99,2.58,47.16,77.49
Cleveland Cavaliers,21.88,8.52,4.93,2.49,1.56,0.92,2.56,46.22,79.43
Dallas Mavericks,22.90,9.09,5.51,2.60,1.46,0.85,2.62,46.81,76.40
Denver Nuggets,21.79,8.51,5.10,2.20,1.42,0.96,2.36,46.15,76.92
Detroit Pistons,23.70,8.60,5.40,2.40,1.80,1.23,2.42,48.67,79.62
Golden State Warriors,23.00,8.57,5.37,2.68,1.56,1.00,2.50,46.71,77.73
Houston Rockets,22.32,8.89,4.87,2.46,1.46,1.20,2.68,46.17,75.20
Indiana Pacers,24.19,8.82,4.97,2.09,1.34,1.12,2.67,49.78,78.68
Los Angeles Clippers,22.49,8.42,5.34,2.63,1.42,0.95,2.45,46.94,77.21
Los Angeles Lakers,23.51,8.78,5.67,2.82,1.59,0.96,2.54,47.41,78.53
Memphis Grizzlies,22.44,9.18,5.23,2.65,1.64,1.26,2.82,46.84,76.91
Miami Heat,21.51,8.42,5.27,2.57,1.30,0.93,2.65,46.51,77.61
Milwaukee Bucks,22.96,8.79,5.23,2.49,1.41,0.84,2.34,46.47,79.86
Minnesota Timberwolves,21.04,8.25,4.79,2.28,1.52,0.90,2.70,44.46,77.95
New Orleans Pelicans,22.14,8.52,5.36,2.73,1.34,1.04,2.74,46.02,78.17
New York Knicks,21.75,8.12,5.14,2.57,1.36,1.02,2.59,47.42,76.74
Oklahoma City Thunder,22.62,8.98,5.41,2.67,1.40,1.03,2.99,46.14,78.29
Orlando Magic,21.49,7.96,4.70,2.27,1.61,0.88,2.85,47.08,77.60
Philadelphia 76ers,22.29,8.80,5.26,2.39,1.23,1.19,2.80,47.09,79.74
Phoenix Suns,22.45,8.21,5.24,2.57,1.73,0.93,2.47,46.05,75.83
Portland Trail Blazers,22.93,8.64,5.37,2.30,1.78,1.25,2.72,49.18,79.25
Sacramento Kings,22.75,8.49,5.36,2.56,1.46,0.88,2.65,47.91,79.57
San Antonio Spurs,23.56,9.14,5.54,2.52,1.75,0.96,2.61,48.71,77.97
Toronto Raptors,23.49,8.89,5.66,2.70,1.46,1.13,2.59,48.65,78.52
Utah Jazz,24.05,8.38,5.90,2.91,1.70,1.26,2.32,48.76,77.65
Washington Wizards,24.46,9.75,5.80,2.40,1.61,1.18,2.67,49.51,77.62
