Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,23.89,6.37,5.49,3.45,1.65,0.74,2.71,45.92,77.84
Brooklyn Nets,22.19,6.69,5.05,3.32,1.37,0.62,2.15,43.42,81.74
Boston Celtics,20.64,6.53,4.48,2.97,1.32,0.44,2.21,41.87,83.63
Charlotte Hornets,20.17,6.44,5.43,3.18,1.69,0.80,2.31,42.64,82.08
Chicago Bulls,22.00,6.08,5.51,3.72,1.37,0.55,2.46,43.52,82.09
Cleveland Cavaliers,20.07,5.86,4.67,3.11,1.39,0.63,2.29,42.61,83.73
Dallas Mavericks,23.07,6.97,5.47,3.57,1.55,0.58,2.49,45.36,79.26
Denver Nuggets,20.94,6.05,5.04,2.85,1.56,0.58,2.27,43.30,80.91
Detroit Pistons,23.35,5.80,5.06,3.13,2.05,0.88,2.24,45.64,85.96
Golden State Warriors,21.96,5.41,4.77,3.30,1.39,0.57,2.49,43.19,78.86
Houston Rockets,21.44,6.65,4.93,3.17,1.47,0.58,2.30,43.33,78.61
Indiana Pacers,24.14,6.21,4.93,2.81,1.33,0.78,2.53,47.19,84.06
Los Angeles Clippers,22.43,6.31,4.92,3.31,1.46,0.59,2.24,45.20,81.27
Los Angeles Lakers,23.08,6.25,5.66,3.36,1.56,0.80,2.59,45.20,85.71
Memphis Grizzlies,20.96,6.42,5.26,3.00,1.68,0.77,2.35,43.55,77.51
Miami Heat,21.46,6.34,5.35,3.27,1.34,0.66,2.45,43.67,78.65
Milwaukee Bucks,23.63,6.96,4.93,3.26,1.29,0.46,2.17,44.49,82.32
Minnesota Timberwolves,19.55,6.48,4.27,2.83,1.40,0.51,2.61,42.06,79.37
New Orleans Pelicans,21.54,5.81,5.33,3.62,1.59,0.57,2.75,41.33,84.73
New York Knicks,21.71,5.95,5.27,3.55,1.24,0.79,2.39,45.57,84.62
Oklahoma City Thunder,22.96,6.14,5.37,3.67,1.45,0.70,3.03,43.97,80.38
Orlando Magic,20.86,5.78,4.67,2.91,1.48,0.41,2.70,43.80,76.33
Philadelphia 76ers,21.52,5.60,5.26,3.03,1.09,0.69,2.56,42.90,82.98
Phoenix Suns,21.66,6.58,5.36,3.27,1.59,0.84,2.32,42.83,79.69
Portland Trail Blazers,22.15,6.48,5.09,2.75,1.96,0.69,2.58,45.59,83.92
Sacramento Kings,22.84,5.54,4.87,3.45,1.38,0.57,2.42,43.91,80.42
San Antonio Spurs,23.28,6.82,5.89,3.33,2.02,0.72,2.46,46.02,79.94
Toronto Raptors,22.44,6.05,5.19,3.49,1.49,0.61,2.33,45.80,83.22
Utah Jazz,23.32,6.48,5.39,3.69,1.66,0.87,2.13,45.64,79.88
Washington Wizards,23.41,7.42,5.67,3.19,1.68,0.87,2.65,45.65,80.47
