Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,19.74,5.78,6.01,2.74,1.92,0.87,1.75,43.70,75.00
Brooklyn Nets,19.04,5.00,4.94,2.44,1.22,0.67,1.58,41.50,81.93
Boston Celtics,18.80,6.47,4.51,2.51,1.22,0.50,2.06,45.25,85.26
Charlotte Hornets,20.14,6.99,6.99,3.61,1.18,0.62,2.59,45.38,82.21
Chicago Bulls,20.49,6.34,5.12,2.95,1.50,0.55,2.39,41.39,78.45
Cleveland Cavaliers,20.92,5.88,5.81,3.15,1.98,0.55,2.47,47.91,81.20
Dallas Mavericks,20.90,7.26,5.62,2.43,1.94,0.54,3.23,41.48,86.43
Denver Nuggets,21.85,5.49,5.02,2.89,1.71,0.47,2.48,42.15,75.85
Detroit Pistons,24.58,5.50,6.78,4.46,1.33,0.63,2.14,44.39,85.94
Golden State Warriors,22.36,5.13,6.69,3.68,0.57,0.25,2.49,42.24,76.98
Houston Rockets,24.42,6.04,5.28,3.17,0.85,0.40,2.11,47.16,85.58
Indiana Pacers,23.71,7.76,5.82,2.42,0.97,0.82,3.24,43.75,85.49
Los Angeles Clippers,17.97,6.03,3.71,3.36,1.44,0.81,2.14,43.91,81.07
Los Angeles Lakers,21.83,4.67,6.76,3.03,1.49,0.54,2.33,48.77,83.77
Memphis Grizzlies,21.90,5.89,4.90,3.22,1.43,0.99,2.18,47.17,80.56
Miami Heat,16.19,5.39,5.49,2.15,1.40,0.51,2.29,36.63,73.96
Milwaukee Bucks,24.61,7.38,4.25,3.96,1.46,0.62,1.75,46.81,83.78
Minnesota Timberwolves,18.57,6.27,4.02,2.68,1.08,0.25,2.72,42.58,84.83
New Orleans Pelicans,20.28,5.53,5.20,4.16,0.71,0.76,3.12,41.50,86.90
New York Knicks,17.85,6.07,5.55,2.67,1.80,0.92,2.31,43.27,86.52
Oklahoma City Thunder,22.40,5.90,5.65,3.60,1.75,0.50,3.50,46.46,82.76
Orlando Magic,18.18,5.41,4.45,2.53,1.71,0.41,2.33,45.86,76.39
Philadelphia 76ers,18.33,5.09,3.69,2.80,0.93,0.97,1.73,45.03,78.42
Phoenix Suns,18.76,5.75,5.06,3.19,1.81,0.47,1.49,42.50,82.45
Portland Trail Blazers,20.05,5.81,5.07,2.82,2.30,0.80,2.13,40.30,85.43
Sacramento Kings,23.88,5.62,4.28,3.39,1.78,0.33,2.00,44.32,79.11
San Antonio Spurs,21.51,6.69,6.64,2.70,2.01,0.69,1.96,42.03,83.77
Toronto Raptors,18.91,5.78,5.95,3.28,1.61,1.00,2.39,42.02,69.12
Utah Jazz,24.90,7.62,6.21,3.81,1.56,0.93,2.19,48.50,79.94
Washington Wizards,27.76,7.42,5.43,4.16,1.56,0.78,1.93,48.28,89.12
