Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,17.80,5.80,4.90,2.06,0.90,0.51,1.54,38.98,62.86
Brooklyn Nets,15.77,4.88,5.00,1.50,1.25,0.25,1.37,37.38,88.89
Boston Celtics,19.38,6.00,4.25,2.62,1.62,0.50,1.87,46.79,84.39
Charlotte Hornets,16.26,6.69,6.22,3.11,0.92,0.46,2.65,39.32,82.14
Chicago Bulls,21.92,7.69,6.08,3.55,1.26,0.80,2.52,43.29,85.67
Cleveland Cavaliers,22.89,5.38,6.50,3.70,2.02,0.44,3.14,53.15,86.59
Dallas Mavericks,20.08,7.58,5.12,3.09,1.49,0.21,2.88,40.69,88.40
Denver Nuggets,19.29,5.03,5.53,2.58,1.72,0.49,2.58,39.24,72.17
Detroit Pistons,23.89,4.20,7.38,4.71,1.43,0.51,2.25,46.82,74.80
Golden State Warriors,17.39,4.27,6.25,2.28,0.91,0.30,3.51,37.51,88.03
Houston Rockets,25.69,6.26,4.72,3.73,0.43,0.32,2.41,51.80,90.88
Indiana Pacers,24.57,7.72,6.93,2.45,0.61,1.14,2.63,46.22,88.30
Los Angeles Clippers,17.00,6.80,3.11,2.69,1.55,0.42,2.40,39.38,75.99
Los Angeles Lakers,20.29,4.32,7.79,2.40,1.53,0.28,2.30,51.24,81.47
Memphis Grizzlies,20.78,5.49,5.06,2.90,1.07,0.96,1.83,44.72,81.16
Miami Heat,13.93,6.36,6.27,1.56,1.01,0.18,2.21,33.75,65.15
Milwaukee Bucks,23.72,7.39,4.01,4.08,1.76,0.35,1.68,45.60,86.03
Minnesota Timberwolves,17.31,6.60,3.21,2.32,0.98,0.17,2.67,37.41,90.22
New Orleans Pelicans,18.63,6.08,4.30,3.93,0.93,1.02,3.37,39.86,82.06
New York Knicks,21.86,7.87,5.88,2.99,1.88,0.77,2.55,48.60,81.13
Oklahoma City Thunder,21.63,4.92,6.02,3.83,2.05,0.68,2.60,40.90,81.57
Orlando Magic,15.39,4.43,4.43,2.35,1.24,0.41,2.08,39.97,90.79
Philadelphia 76ers,18.47,4.05,3.50,2.67,0.89,0.82,1.30,45.47,84.96
Phoenix Suns,20.51,5.69,4.45,3.21,2.38,0.72,1.86,43.45,91.18
Portland Trail Blazers,22.57,5.77,3.63,2.75,2.50,1.00,1.88,40.39,88.91
Sacramento Kings,24.94,4.61,5.16,3.29,1.64,0.10,1.64,45.40,81.21
San Antonio Spurs,23.65,5.53,6.72,3.14,1.51,0.86,1.84,45.32,93.64
Toronto Raptors,19.49,5.94,6.65,3.44,1.30,1.30,2.37,43.80,78.30
Utah Jazz,32.03,6.66,5.14,4.67,1.75,0.11,2.80,53.22,78.21
Washington Wizards,20.96,5.82,4.95,2.76,1.31,0.58,2.03,38.38,86.25
