Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,22.74,7.30,4.72,3.04,1.33,0.80,2.60,48.26,79.57
Brooklyn Nets,21.42,7.76,4.03,2.71,1.32,0.67,1.97,46.48,82.74
Boston Celtics,19.46,7.81,3.79,2.65,1.41,0.56,1.91,42.46,81.91
Charlotte Hornets,22.35,7.29,4.39,2.82,1.30,0.66,2.12,47.48,83.95
Chicago Bulls,21.25,6.96,4.52,3.04,1.46,0.75,2.27,44.96,80.96
Cleveland Cavaliers,22.21,7.85,4.19,2.74,1.54,0.58,2.54,45.78,78.20
Dallas Mavericks,19.49,7.83,4.26,2.53,1.23,0.82,2.10,42.54,77.15
Denver Nuggets,18.34,7.33,3.50,1.96,1.33,0.79,2.23,43.31,76.67
Detroit Pistons,22.19,7.70,4.39,2.79,1.62,0.77,1.98,46.89,79.72
Golden State Warriors,21.21,7.84,3.70,2.84,1.52,0.83,1.93,45.79,79.08
Houston Rockets,18.61,7.70,3.83,2.28,1.55,0.87,2.13,42.79,79.02
Indiana Pacers,22.52,7.76,3.70,2.13,1.37,0.83,2.21,49.25,76.76
Los Angeles Clippers,20.92,7.26,4.30,2.80,1.50,0.78,2.00,44.96,78.35
Los Angeles Lakers,21.36,7.64,4.16,3.03,1.52,0.80,2.02,45.94,81.66
Memphis Grizzlies,21.10,8.44,3.82,3.07,1.72,0.90,2.26,44.90,78.57
Miami Heat,20.93,7.44,4.06,2.92,1.38,0.83,2.43,45.09,76.45
Milwaukee Bucks,19.37,7.62,4.41,2.19,1.52,0.65,1.64,43.72,81.06
Minnesota Timberwolves,20.49,7.48,3.60,2.57,1.59,0.68,2.46,43.50,78.00
New Orleans Pelicans,19.37,7.50,4.41,2.92,1.24,0.87,2.49,43.14,76.32
New York Knicks,20.95,7.54,4.28,2.46,1.57,0.80,2.43,46.54,78.53
Oklahoma City Thunder,19.70,7.38,3.93,2.74,1.33,0.90,2.69,42.63,77.51
Orlando Magic,19.88,6.64,3.41,2.61,1.58,0.70,2.56,45.65,79.44
Philadelphia 76ers,20.48,8.17,3.66,2.54,1.53,0.87,2.40,45.86,81.19
Phoenix Suns,19.49,7.38,3.46,2.53,1.99,0.75,1.80,44.24,72.75
Portland Trail Blazers,20.44,7.65,4.06,2.33,1.69,1.01,2.13,49.83,80.25
Sacramento Kings,22.11,7.15,3.75,3.03,1.39,0.58,1.99,50.60,81.70
San Antonio Spurs,19.21,7.95,3.89,2.49,1.67,0.72,2.15,43.27,77.05
Toronto Raptors,23.96,7.84,4.37,3.13,1.55,1.00,2.23,48.70,77.83
Utah Jazz,22.25,7.09,4.44,3.07,1.76,1.07,1.65,46.34,80.68
Washington Wizards,22.65,8.32,4.73,2.64,1.85,0.97,2.21,49.55,76.75
