Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,20.12,14.81,3.40,0.76,1.13,1.96,2.50,57.53,68.22
Brooklyn Nets,23.24,14.34,3.74,1.32,1.53,2.94,3.14,56.88,78.19
Boston Celtics,21.87,14.03,4.46,0.86,0.74,1.33,2.43,56.17,78.92
Charlotte Hornets,22.40,15.77,3.63,0.91,1.19,2.15,2.11,58.15,87.20
Chicago Bulls,21.34,13.96,3.97,0.95,1.09,1.84,2.16,55.88,62.32
Cleveland Cavaliers,20.31,16.96,4.29,0.83,1.71,1.91,2.14,55.13,75.69
Dallas Mavericks,24.94,14.83,4.72,1.40,1.28,2.15,2.65,50.76,71.73
Denver Nuggets,24.14,13.84,4.62,1.08,1.55,2.60,2.78,53.42,70.52
Detroit Pistons,22.30,15.86,4.44,0.63,1.54,2.87,2.80,58.69,69.38
Golden State Warriors,23.29,15.19,4.63,0.87,1.85,2.07,3.19,56.18,69.57
Houston Rockets,23.37,13.79,3.68,1.55,1.06,3.31,3.88,57.40,75.56
Indiana Pacers,24.62,17.41,4.06,0.52,1.34,1.76,2.93,54.91,75.70
Los Angeles Clippers,20.69,15.61,4.44,1.21,1.39,1.72,2.42,48.71,68.55
Los Angeles Lakers,23.33,13.78,5.15,1.77,1.41,2.61,2.46,52.97,72.38
Memphis Grizzlies,24.92,14.49,4.36,1.39,1.39,2.67,3.12,53.67,67.68
Miami Heat,21.16,13.95,4.04,0.93,0.82,1.00,2.58,54.25,71.17
Milwaukee Bucks,21.16,13.46,3.90,0.94,1.15,1.15,2.75,50.21,73.27
Minnesota Timberwolves,22.50,15.16,3.65,1.38,1.27,1.73,2.58,52.52,70.60
New Orleans Pelicans,23.57,15.49,3.78,0.97,1.15,2.41,3.06,56.68,75.61
New York Knicks,19.68,13.53,4.63,0.69,0.91,1.87,3.01,54.44,71.91
Oklahoma City Thunder,25.81,14.59,5.14,1.66,1.29,2.14,3.44,55.01,76.52
Orlando Magic,18.65,11.91,3.31,0.70,1.20,1.67,2.53,55.96,76.08
Philadelphia 76ers,22.74,15.42,4.46,0.79,0.90,2.68,2.46,59.19,83.27
Phoenix Suns,21.26,13.52,4.81,0.76,1.84,1.36,2.16,50.21,74.64
Portland Trail Blazers,25.05,15.81,4.96,1.45,1.81,2.25,2.98,61.99,69.27
Sacramento Kings,20.31,13.90,5.36,0.72,1.33,2.01,1.98,47.73,75.79
San Antonio Spurs,27.29,15.01,4.30,0.90,1.53,2.16,2.93,59.68,76.39
Toronto Raptors,24.54,18.18,4.48,0.83,1.29,2.89,3.81,56.88,73.36
Utah Jazz,27.45,15.09,4.82,1.03,1.65,2.39,2.13,58.36,70.69
Washington Wizards,26.23,16.59,4.16,0.63,1.11,2.49,3.16,61.35,83.50
