Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,21.95,9.69,4.87,2.66,1.61,1.38,2.06,47.41,82.33
Brooklyn Nets,22.86,10.84,4.73,1.84,1.14,1.14,2.28,49.36,79.02
Boston Celtics,20.45,9.18,3.98,2.53,0.81,0.55,1.97,45.14,76.00
Charlotte Hornets,24.32,11.53,4.66,2.20,1.24,0.95,2.60,48.39,75.84
Chicago Bulls,22.95,10.24,3.68,2.50,1.23,1.46,2.44,52.75,72.57
Cleveland Cavaliers,22.45,9.33,3.67,2.61,1.43,0.94,2.26,46.33,72.16
Dallas Mavericks,21.80,10.85,4.80,2.01,1.70,0.89,2.51,45.62,73.81
Denver Nuggets,24.65,10.81,3.95,2.50,1.38,1.12,2.33,49.04,71.93
Detroit Pistons,25.59,9.73,4.95,2.11,1.82,1.25,2.51,52.50,77.49
Golden State Warriors,25.48,11.47,4.16,3.30,1.54,1.49,3.18,49.49,77.45
Houston Rockets,23.87,11.87,4.27,2.35,1.35,1.82,2.41,49.72,75.10
Indiana Pacers,24.46,9.41,5.23,1.72,1.14,1.26,2.94,52.98,75.98
Los Angeles Clippers,23.14,9.31,5.28,2.20,1.39,1.34,1.92,51.54,73.58
Los Angeles Lakers,26.05,12.02,4.67,2.31,1.25,0.89,2.12,50.96,65.03
Memphis Grizzlies,20.90,10.21,4.82,1.95,1.56,1.15,2.60,48.00,73.68
Miami Heat,19.31,9.64,4.19,1.94,1.16,1.11,2.55,48.96,76.86
Milwaukee Bucks,21.76,9.50,3.49,2.53,1.38,0.90,2.08,46.42,69.62
Minnesota Timberwolves,19.54,8.80,3.17,1.54,1.54,1.21,2.51,46.66,71.29
New Orleans Pelicans,24.52,10.96,4.39,2.34,1.14,1.20,2.53,48.18,75.82
New York Knicks,24.45,8.79,4.79,2.75,1.19,1.13,2.70,54.01,66.94
Oklahoma City Thunder,24.06,11.74,4.58,1.68,1.42,1.02,2.92,51.33,76.13
Orlando Magic,20.13,8.87,3.89,1.72,1.27,1.00,2.75,49.43,84.50
Philadelphia 76ers,22.67,11.45,4.80,2.55,0.99,1.48,3.28,49.36,76.46
Phoenix Suns,22.99,9.60,3.62,2.38,1.78,0.81,2.20,44.82,72.18
Portland Trail Blazers,23.19,8.68,3.78,2.28,1.39,1.42,2.89,48.13,78.57
Sacramento Kings,24.41,11.34,4.83,2.00,1.54,1.14,3.05,49.05,81.13
San Antonio Spurs,19.65,10.09,5.01,1.83,1.54,1.13,1.98,51.36,68.01
Toronto Raptors,26.13,10.52,4.61,2.21,1.43,1.68,2.01,52.92,72.67
Utah Jazz,25.21,8.58,5.38,3.17,1.70,1.34,2.03,49.84,74.06
Washington Wizards,25.92,10.18,5.71,1.84,1.71,1.53,2.49,53.12,68.69
