Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,22.72,8.73,5.31,2.79,1.43,1.08,2.49,47.63,80.80
Brooklyn Nets,22.33,8.77,5.11,2.61,1.40,1.04,2.39,48.38,80.49
Boston Celtics,20.91,8.22,5.00,2.42,1.09,0.61,2.25,45.22,81.29
Charlotte Hornets,21.91,9.12,5.60,2.61,1.41,0.88,2.63,46.86,81.02
Chicago Bulls,22.60,8.28,5.56,2.94,1.38,0.93,2.32,47.46,77.03
Cleveland Cavaliers,22.07,8.59,5.10,2.63,1.54,0.81,2.31,47.73,80.90
Dallas Mavericks,21.78,8.77,5.48,2.54,1.51,0.88,2.49,44.26,78.29
Denver Nuggets,21.29,8.65,5.09,2.13,1.49,0.91,2.39,45.01,76.13
Detroit Pistons,22.79,8.78,5.52,2.41,1.89,1.33,2.63,47.90,77.38
Golden State Warriors,22.63,8.70,5.62,2.82,1.46,1.03,2.60,46.33,77.43
Houston Rockets,22.92,8.93,4.92,2.51,1.48,1.30,2.66,47.64,77.98
Indiana Pacers,23.81,9.07,4.99,2.01,1.19,1.02,2.55,49.31,78.67
Los Angeles Clippers,22.75,8.43,5.57,2.83,1.55,0.97,2.15,47.72,76.69
Los Angeles Lakers,23.88,8.61,5.99,2.82,1.46,0.98,2.34,48.39,77.45
Memphis Grizzlies,22.33,9.19,5.29,2.68,1.72,1.22,2.70,47.19,75.19
Miami Heat,20.31,8.23,5.19,2.34,1.09,0.79,2.67,45.36,78.84
Milwaukee Bucks,21.74,8.76,5.13,2.65,1.44,0.76,2.30,45.21,78.24
Minnesota Timberwolves,20.85,8.59,4.81,2.28,1.47,0.83,2.76,44.41,77.30
New Orleans Pelicans,21.49,8.44,5.32,2.78,1.22,1.02,2.86,45.56,78.68
New York Knicks,21.39,7.96,5.07,2.48,1.31,1.04,2.56,48.96,77.01
Oklahoma City Thunder,22.80,9.02,5.60,2.65,1.45,1.00,3.00,47.88,78.29
Orlando Magic,20.72,7.41,4.64,2.20,1.63,0.75,2.70,46.57,82.43
Philadelphia 76ers,21.61,8.74,5.21,2.46,1.25,1.23,2.79,46.79,82.17
Phoenix Suns,22.00,8.65,5.35,2.55,1.88,0.86,2.46,44.85,74.29
Portland Trail Blazers,22.46,8.32,5.22,2.38,1.88,1.30,2.49,48.43,78.34
Sacramento Kings,21.74,8.34,5.18,2.36,1.45,0.85,2.54,46.36,79.61
San Antonio Spurs,22.76,8.92,5.53,2.22,1.82,1.04,2.47,48.97,79.38
Toronto Raptors,24.30,9.23,5.91,2.97,1.64,1.29,2.59,49.41,75.32
Utah Jazz,24.69,8.32,6.26,3.13,1.68,1.23,2.23,50.89,76.92
Washington Wizards,24.30,9.37,5.67,2.25,1.74,1.29,2.45,49.84,79.29
