Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,24.08,9.90,4.08,3.21,1.30,1.30,2.35,48.07,86.47
Brooklyn Nets,22.64,10.83,4.61,2.07,1.29,1.55,1.96,52.08,80.06
Boston Celtics,21.79,11.09,3.95,2.78,0.84,0.77,2.46,44.23,66.05
Charlotte Hornets,22.40,9.85,4.89,3.12,1.53,0.55,2.51,45.02,84.29
Chicago Bulls,20.17,9.91,4.33,1.99,1.10,0.89,2.27,51.17,81.28
Cleveland Cavaliers,26.46,9.19,4.30,3.12,1.82,0.80,2.85,51.25,74.64
Dallas Mavericks,20.76,9.51,3.88,2.28,1.59,0.76,2.20,43.34,75.80
Denver Nuggets,22.30,10.36,4.29,2.33,1.39,1.32,2.46,46.87,77.96
Detroit Pistons,24.38,11.14,4.99,1.35,1.79,1.16,2.47,55.00,67.95
Golden State Warriors,25.47,11.06,3.86,4.06,1.54,1.49,3.29,49.59,72.13
Houston Rockets,20.90,11.61,4.35,2.24,1.66,1.23,2.97,49.52,81.25
Indiana Pacers,24.79,7.34,4.65,2.30,1.22,1.12,2.69,53.67,80.45
Los Angeles Clippers,24.15,8.62,4.33,2.30,1.79,1.33,1.79,54.32,70.37
Los Angeles Lakers,26.98,12.16,4.41,2.59,1.42,0.95,2.68,52.41,60.41
Memphis Grizzlies,22.33,11.10,6.09,2.18,1.79,1.92,2.95,51.12,65.62
Miami Heat,17.07,8.94,3.73,1.68,0.97,0.92,2.40,47.01,71.02
Milwaukee Bucks,19.74,9.25,4.02,1.64,1.64,0.79,1.54,44.16,76.33
Minnesota Timberwolves,19.82,9.26,3.48,1.68,1.96,1.34,3.03,49.42,69.90
New Orleans Pelicans,23.56,10.25,4.18,1.94,1.00,0.76,2.35,50.31,76.40
New York Knicks,21.92,8.51,4.81,2.14,0.96,1.03,1.85,52.52,69.57
Oklahoma City Thunder,25.08,12.99,4.11,1.62,1.62,1.11,2.48,52.95,75.58
Orlando Magic,19.77,8.73,3.88,1.52,1.69,1.12,2.81,50.16,75.77
Philadelphia 76ers,23.56,9.76,4.56,3.00,1.01,1.12,4.24,48.95,78.02
Phoenix Suns,23.73,9.69,4.28,2.17,1.76,1.29,2.64,46.00,79.21
Portland Trail Blazers,22.07,9.69,3.95,1.71,1.78,1.71,1.64,48.03,86.36
Sacramento Kings,21.12,9.97,4.25,2.40,1.41,1.10,3.14,46.89,71.13
San Antonio Spurs,21.50,9.76,5.57,1.90,1.96,0.85,1.63,59.79,74.01
Toronto Raptors,27.59,11.28,4.89,2.28,1.50,2.15,2.80,58.46,69.51
Utah Jazz,21.11,8.86,4.74,2.64,1.97,1.35,2.03,46.45,69.06
Washington Wizards,21.32,10.88,4.85,1.52,1.88,1.16,2.15,47.12,64.34
