Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,24.84,6.24,8.78,3.42,1.61,0.59,3.24,46.19,85.09
Brooklyn Nets,25.79,6.14,8.17,3.68,1.60,0.54,2.92,46.54,83.07
Boston Celtics,24.90,6.08,8.13,3.27,1.52,0.49,2.82,43.74,76.94
Charlotte Hornets,24.20,6.76,9.51,3.29,1.49,0.62,3.13,46.20,83.44
Chicago Bulls,22.86,5.67,9.02,3.33,1.32,0.55,3.21,43.32,86.79
Cleveland Cavaliers,23.43,5.54,7.65,2.89,2.00,0.47,2.91,44.74,87.06
Dallas Mavericks,23.75,6.56,8.79,2.80,1.64,0.54,3.01,45.45,83.94
Denver Nuggets,23.29,6.15,8.48,2.77,1.56,0.41,2.77,44.19,81.22
Detroit Pistons,24.63,5.96,8.73,2.63,2.17,0.64,2.90,45.03,81.61
Golden State Warriors,24.08,5.89,8.64,3.07,1.99,0.62,2.43,45.17,81.24
Houston Rockets,26.03,6.41,7.40,3.17,1.56,0.78,3.06,46.26,78.36
Indiana Pacers,24.40,6.26,7.36,2.51,1.46,0.72,2.98,45.56,81.45
Los Angeles Clippers,25.32,5.58,8.20,3.36,1.38,0.57,3.14,45.41,83.96
Los Angeles Lakers,25.83,6.42,9.28,3.37,2.04,0.34,2.80,45.47,86.04
Memphis Grizzlies,24.16,6.92,8.57,3.31,1.85,0.67,3.33,45.59,79.11
Miami Heat,23.19,5.97,8.86,3.07,1.39,0.64,3.23,44.21,82.87
Milwaukee Bucks,26.13,6.46,8.65,2.91,1.80,0.54,3.12,46.61,82.29
Minnesota Timberwolves,23.17,5.91,8.71,2.56,1.82,0.50,3.45,41.73,87.89
New Orleans Pelicans,24.11,5.01,8.86,3.34,1.56,0.46,3.27,44.45,79.70
New York Knicks,22.44,5.85,8.03,2.60,1.54,0.65,2.83,43.80,81.46
Oklahoma City Thunder,23.11,6.45,8.58,3.38,1.59,0.64,3.09,42.39,80.28
Orlando Magic,25.75,5.77,7.94,2.96,2.21,0.49,3.26,44.65,83.61
Philadelphia 76ers,22.90,6.02,8.83,2.65,1.65,0.84,3.37,43.37,84.89
Phoenix Suns,25.19,5.91,9.12,3.39,1.98,0.56,3.06,45.51,79.91
Portland Trail Blazers,25.45,5.80,8.71,2.82,1.93,0.71,3.26,46.12,84.09
Sacramento Kings,23.13,6.56,8.79,2.71,1.77,0.52,3.38,45.14,82.33
San Antonio Spurs,26.73,6.35,8.75,3.01,2.08,0.51,3.30,47.59,85.34
Toronto Raptors,23.17,6.12,9.76,2.92,1.69,0.61,3.20,43.98,81.89
Utah Jazz,24.08,6.36,10.38,3.32,2.02,0.82,3.17,45.91,81.65
Washington Wizards,24.54,6.55,9.16,2.92,1.90,0.68,2.94,44.06,83.58
