Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,20.88,13.78,2.78,0.76,1.53,1.87,2.57,56.40,69.69
Brooklyn Nets,23.44,15.66,3.69,0.99,1.79,2.99,3.59,57.10,71.83
Boston Celtics,20.30,14.03,4.23,0.78,0.47,1.48,2.50,57.10,62.30
Charlotte Hornets,25.39,16.11,3.22,0.55,0.94,1.72,2.27,63.91,82.05
Chicago Bulls,23.29,14.51,4.30,0.95,1.11,1.83,2.55,59.20,61.81
Cleveland Cavaliers,22.32,15.97,5.04,1.04,2.22,1.37,2.09,58.82,76.59
Dallas Mavericks,20.35,15.30,5.20,0.86,1.26,1.57,2.91,49.47,64.13
Denver Nuggets,24.54,13.76,3.50,1.11,1.02,3.07,2.05,49.53,68.30
Detroit Pistons,24.43,15.37,3.82,0.83,1.32,3.07,2.32,63.40,62.25
Golden State Warriors,23.94,14.12,3.81,0.98,1.48,2.11,3.17,55.98,68.03
Houston Rockets,22.53,14.07,3.57,1.05,1.13,2.60,3.41,58.26,89.54
Indiana Pacers,26.35,18.56,3.04,0.60,1.33,1.58,2.43,53.58,78.59
Los Angeles Clippers,21.29,15.42,4.07,1.40,1.25,2.11,2.50,52.60,63.94
Los Angeles Lakers,22.84,11.88,5.67,2.60,1.68,2.07,2.14,52.78,67.98
Memphis Grizzlies,24.08,15.77,4.04,1.39,1.63,2.25,3.80,50.65,81.53
Miami Heat,22.65,12.77,4.23,0.89,1.26,0.66,2.82,52.98,78.79
Milwaukee Bucks,20.79,11.49,3.58,0.73,1.17,1.31,2.85,45.72,75.31
Minnesota Timberwolves,23.26,15.78,3.80,1.09,1.41,1.41,2.38,53.19,74.10
New Orleans Pelicans,22.76,15.95,3.27,1.15,0.88,2.31,2.79,60.06,78.15
New York Knicks,21.20,14.69,5.09,1.08,1.00,1.41,3.67,49.97,73.23
Oklahoma City Thunder,26.07,11.19,4.63,2.31,1.43,1.99,3.67,54.81,77.59
Orlando Magic,18.49,12.06,4.35,0.81,0.90,1.81,2.81,52.99,77.87
Philadelphia 76ers,21.00,16.70,5.26,0.97,0.83,2.70,2.84,57.88,82.42
Phoenix Suns,22.24,12.30,4.16,1.23,1.60,1.13,1.60,53.43,76.58
Portland Trail Blazers,23.49,16.18,5.17,1.56,2.54,2.38,3.45,61.95,63.87
Sacramento Kings,16.95,14.24,4.29,0.79,1.27,2.30,1.83,45.79,69.66
San Antonio Spurs,25.66,14.19,5.61,0.72,1.92,1.84,3.60,57.95,70.89
Toronto Raptors,25.72,18.98,4.91,0.74,1.58,2.24,3.91,58.66,75.77
Utah Jazz,26.34,15.27,5.53,1.07,1.40,2.47,1.98,60.86,72.79
Washington Wizards,26.18,15.40,3.29,0.56,1.33,2.45,3.01,57.61,86.00
