Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,22.98,7.20,4.28,2.29,1.22,0.15,2.14,51.55,83.36
Brooklyn Nets,21.33,6.02,1.95,2.27,0.48,0.81,0.97,48.97,83.78
Boston Celtics,19.68,8.93,4.53,2.97,1.29,0.51,2.46,42.97,90.77
Charlotte Hornets,22.89,6.43,3.89,3.59,1.04,0.59,2.09,48.69,70.75
Chicago Bulls,23.15,5.63,4.11,4.87,2.13,0.30,2.28,46.52,85.45
Cleveland Cavaliers,23.16,9.22,2.35,5.14,0.42,0.64,1.71,48.81,49.41
Dallas Mavericks,22.11,7.10,3.15,3.31,1.57,0.63,2.52,42.58,81.77
Denver Nuggets,17.62,7.35,4.79,1.88,1.02,0.51,1.54,44.26,84.68
Detroit Pistons,22.42,8.08,4.94,2.80,0.82,0.49,2.96,53.03,78.91
Golden State Warriors,16.46,6.12,3.06,2.48,0.76,2.10,1.72,33.67,78.65
Houston Rockets,15.69,7.16,4.87,1.82,1.98,0.91,2.74,43.13,88.37
Indiana Pacers,25.33,6.04,4.11,2.05,0.90,0.77,1.54,50.00,82.95
Los Angeles Clippers,18.51,7.84,5.00,3.00,1.50,0.83,1.66,36.15,84.98
Los Angeles Lakers,17.59,6.88,3.06,2.60,1.53,0.91,1.83,41.40,85.05
Memphis Grizzlies,21.63,7.91,3.69,2.98,1.75,1.23,1.75,50.58,81.43
Miami Heat,22.09,8.55,3.28,2.76,1.44,0.92,2.63,44.58,88.30
Milwaukee Bucks,15.60,9.68,4.84,1.21,1.21,0.26,2.01,41.42,88.16
Minnesota Timberwolves,20.06,7.04,3.32,3.05,1.19,0.26,3.05,41.60,72.60
New Orleans Pelicans,16.19,6.71,5.13,3.02,1.31,1.84,3.42,39.80,87.62
New York Knicks,18.67,6.31,5.30,1.64,0.63,0.37,3.53,44.81,81.63
Oklahoma City Thunder,22.02,6.71,4.06,3.28,1.56,1.24,2.81,39.17,81.36
Orlando Magic,19.82,6.46,3.30,2.15,1.72,0.71,3.16,46.88,83.80
Philadelphia 76ers,18.84,6.60,3.96,2.04,1.92,0.84,2.16,44.09,75.68
Phoenix Suns,19.98,8.49,4.83,2.49,1.99,0.33,2.66,50.53,77.85
Portland Trail Blazers,22.20,7.40,5.55,2.96,1.72,0.86,1.48,56.49,74.25
Sacramento Kings,23.27,6.25,2.93,3.91,0.78,0.19,2.73,47.54,69.97
San Antonio Spurs,16.74,7.44,2.67,2.67,1.97,0.34,1.74,38.50,89.55
Toronto Raptors,23.36,8.29,4.85,3.82,3.06,1.40,1.27,49.62,79.08
Utah Jazz,25.59,7.03,5.11,5.54,1.70,0.00,1.06,53.75,66.67
Washington Wizards,20.79,8.73,4.62,1.92,1.15,0.89,3.08,44.30,65.70
