Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,24.62,10.34,4.65,2.68,1.49,1.31,2.23,50.41,77.83
Brooklyn Nets,22.62,10.68,4.35,2.16,1.12,1.00,2.49,47.82,78.63
Boston Celtics,20.41,9.85,3.96,2.34,1.00,0.78,2.03,44.57,75.93
Charlotte Hornets,24.79,10.82,4.95,2.51,1.34,1.04,2.77,50.37,74.82
Chicago Bulls,23.48,10.91,4.01,2.56,1.29,1.28,2.63,51.75,71.78
Cleveland Cavaliers,22.66,9.84,3.95,2.40,1.40,1.03,2.44,46.43,73.41
Dallas Mavericks,24.62,10.67,4.65,2.23,1.51,0.92,2.77,48.19,73.03
Denver Nuggets,23.03,10.22,4.11,2.14,1.27,1.17,2.05,47.67,73.84
Detroit Pistons,24.73,9.94,4.43,2.20,1.60,1.11,2.29,50.99,77.07
Golden State Warriors,24.20,11.04,4.52,2.74,1.52,1.17,2.74,47.94,77.66
Houston Rockets,23.29,10.71,4.15,2.16,1.43,1.51,2.80,46.10,72.34
Indiana Pacers,26.39,10.17,4.54,1.92,1.27,1.30,2.68,54.03,77.78
Los Angeles Clippers,22.44,10.05,4.64,2.13,1.42,1.25,2.41,49.40,74.21
Los Angeles Lakers,24.99,10.32,4.45,2.62,1.30,1.01,2.50,49.33,71.98
Memphis Grizzlies,23.24,10.47,4.33,2.44,1.52,1.30,3.09,48.14,76.75
Miami Heat,21.40,9.63,4.34,2.18,1.24,1.05,2.76,48.50,79.07
Milwaukee Bucks,23.24,10.06,3.78,2.54,1.30,1.12,2.30,47.38,78.59
Minnesota Timberwolves,20.86,9.26,3.25,1.98,1.42,1.19,2.47,45.15,72.43
New Orleans Pelicans,23.26,10.68,3.97,2.24,1.08,1.25,2.48,47.95,76.49
New York Knicks,23.45,8.80,4.41,2.74,1.20,1.02,2.65,49.23,69.64
Oklahoma City Thunder,23.89,11.29,4.28,1.96,1.39,1.05,2.89,49.38,78.38
Orlando Magic,20.72,9.40,3.80,1.85,1.31,1.01,2.84,48.13,74.11
Philadelphia 76ers,23.13,11.26,4.43,2.36,0.96,1.36,3.07,48.33,74.19
Phoenix Suns,24.36,9.62,3.59,2.33,1.69,1.03,2.52,47.46,72.98
Portland Trail Blazers,23.10,9.67,4.37,2.10,1.50,1.34,2.74,48.80,78.56
Sacramento Kings,25.39,10.31,4.67,2.43,1.44,0.93,3.16,50.35,78.56
San Antonio Spurs,22.67,10.45,4.84,2.33,1.46,0.98,2.47,50.41,71.62
Toronto Raptors,24.74,10.49,4.48,2.55,1.33,1.33,2.47,50.05,75.06
Utah Jazz,26.01,9.27,4.89,3.07,1.78,1.44,2.19,51.28,75.56
Washington Wizards,25.60,10.80,4.94,2.06,1.40,1.16,2.54,51.56,70.86
