Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,18.76,12.95,5.06,1.19,2.38,1.19,3.27,56.44,81.34
Brooklyn Nets,19.21,20.50,4.10,1.29,1.72,3.45,3.23,47.17,71.30
Boston Celtics,20.57,15.11,3.82,1.27,0.91,1.27,1.63,46.65,53.11
Charlotte Hornets,28.36,14.35,2.56,1.36,1.02,1.87,2.05,60.93,76.88
Chicago Bulls,18.67,12.12,3.60,0.49,2.45,1.80,1.96,54.23,50.00
Cleveland Cavaliers,21.38,16.03,6.41,0.53,1.42,2.13,2.67,64.10,73.84
Dallas Mavericks,19.72,12.93,4.89,1.26,0.94,1.26,2.99,52.05,53.17
Denver Nuggets,24.31,15.10,3.68,0.36,0.92,2.57,1.65,51.02,66.59
Detroit Pistons,25.77,16.99,4.48,1.30,1.30,3.36,3.36,61.42,85.20
Golden State Warriors,23.68,13.69,4.25,1.29,2.03,1.48,2.40,55.41,72.97
Houston Rockets,22.02,13.17,3.19,0.94,1.50,2.63,2.25,62.87,88.78
Indiana Pacers,26.19,18.47,3.19,0.67,0.67,1.84,2.51,52.15,69.56
Los Angeles Clippers,24.72,17.16,5.51,0.61,2.04,1.43,3.26,54.34,71.96
Los Angeles Lakers,20.75,13.14,3.92,0.69,2.07,2.07,2.99,54.92,75.00
Memphis Grizzlies,25.58,14.71,2.07,1.91,1.59,2.39,4.79,56.05,79.96
Miami Heat,22.21,11.58,2.85,1.42,1.74,0.79,1.26,49.97,85.05
Milwaukee Bucks,20.29,11.67,2.68,1.14,1.14,2.10,1.72,53.17,76.12
Minnesota Timberwolves,22.94,13.24,4.36,0.80,2.42,1.45,3.07,49.53,71.01
New Orleans Pelicans,23.61,15.99,5.18,1.98,1.37,2.43,2.43,53.25,82.24
New York Knicks,25.61,15.23,4.32,1.90,1.21,1.55,3.63,54.78,69.70
Oklahoma City Thunder,25.97,12.44,6.13,1.62,1.98,2.16,3.96,61.19,81.61
Orlando Magic,20.94,11.07,3.94,1.06,0.75,1.21,2.27,53.24,88.33
Philadelphia 76ers,24.84,14.94,5.62,1.94,0.58,1.94,5.24,50.00,90.35
Phoenix Suns,22.55,11.73,4.83,0.23,0.69,1.38,1.61,54.79,85.00
Portland Trail Blazers,25.02,17.82,6.51,1.37,3.59,2.74,3.42,57.12,59.02
Sacramento Kings,15.53,14.54,3.95,0.98,1.83,2.25,0.98,52.31,46.33
San Antonio Spurs,24.47,14.92,5.20,0.86,1.56,1.56,3.81,50.42,85.77
Toronto Raptors,26.57,15.25,3.44,1.23,0.73,3.19,5.16,53.22,63.55
Utah Jazz,24.73,14.42,5.15,1.20,1.71,3.43,3.26,56.72,79.13
Washington Wizards,25.61,14.27,3.53,0.44,2.35,2.79,3.09,53.01,84.53
