Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,21.35,6.30,4.15,2.44,1.18,0.66,1.77,49.97,83.94
Brooklyn Nets,20.80,7.10,3.51,2.32,1.26,0.63,1.61,46.37,83.38
Boston Celtics,19.10,8.13,4.28,2.77,1.26,0.44,2.39,48.50,89.27
Charlotte Hornets,21.39,6.53,4.53,3.34,1.26,0.37,2.30,48.63,78.53
Chicago Bulls,23.04,6.03,4.44,4.37,1.94,0.90,1.80,48.15,72.56
Cleveland Cavaliers,23.33,7.44,4.55,3.70,1.51,0.37,2.37,51.36,81.77
Dallas Mavericks,21.06,7.02,3.51,3.22,1.54,0.84,2.10,42.50,86.98
Denver Nuggets,16.78,7.76,3.22,1.64,0.92,0.65,1.44,43.65,79.11
Detroit Pistons,22.75,8.76,4.06,3.09,1.50,1.16,2.32,45.56,71.86
Golden State Warriors,17.12,7.11,4.35,2.00,1.00,1.00,1.41,38.84,80.33
Houston Rockets,16.45,7.14,3.53,1.90,1.76,0.74,2.17,37.84,83.42
Indiana Pacers,20.88,5.91,3.25,2.09,1.04,0.77,1.27,47.34,80.86
Los Angeles Clippers,20.48,7.23,5.75,2.79,1.36,0.93,1.42,45.27,77.60
Los Angeles Lakers,20.10,5.90,3.99,3.53,1.33,1.04,1.91,42.63,92.67
Memphis Grizzlies,19.59,8.07,4.15,2.95,1.83,0.87,1.59,48.84,77.21
Miami Heat,22.50,7.86,2.59,3.74,0.82,1.01,2.66,46.29,86.32
Milwaukee Bucks,18.72,8.75,5.15,2.78,1.15,0.46,1.62,41.34,89.97
Minnesota Timberwolves,20.90,7.31,2.93,2.93,1.57,0.27,3.14,42.71,72.17
New Orleans Pelicans,16.42,7.75,4.38,2.58,0.92,1.06,2.58,36.85,82.66
New York Knicks,18.52,6.79,3.62,2.17,0.85,0.46,2.76,43.55,81.46
Oklahoma City Thunder,21.37,7.81,5.28,3.09,1.51,1.01,3.43,46.61,77.04
Orlando Magic,22.37,6.53,2.48,2.55,1.34,0.92,3.05,45.76,85.14
Philadelphia 76ers,21.89,7.46,3.73,2.56,1.71,0.73,2.50,43.78,80.13
Phoenix Suns,21.14,7.59,4.39,2.48,2.12,0.56,2.05,46.27,75.00
Portland Trail Blazers,21.15,8.06,4.42,2.15,1.61,1.01,1.55,51.14,81.07
Sacramento Kings,19.97,7.15,3.38,2.75,1.02,0.31,2.91,47.86,72.57
San Antonio Spurs,17.01,7.42,2.56,2.36,1.57,0.52,2.16,41.14,84.29
Toronto Raptors,22.92,8.68,4.57,3.11,1.98,1.06,2.12,48.61,82.20
Utah Jazz,22.91,7.19,4.01,3.76,1.33,0.41,1.25,50.49,75.73
Washington Wizards,20.94,8.00,4.55,1.82,1.36,1.10,2.47,46.00,71.33
